,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Limón sin Semilla por Kg,22.9,Esparrago Verde 454g,68.5,Leche Alpura Clásica Pasteurizada 1L,20.0,Bistec Pulpa Negra Res por kg,149.0,Chiles Habaneros Salsas Doña Jose en Escabeche 300g.,95.0
1,Plátano Chiapas por Kg,16.5,Alcachofa Microwave 59g,154.9,Frutal Fresa Alpura 250ml,7.5,Molida de Res por kg,79.9,Chilitos Gueritos La Norteña Pouch 230g,21.0
2,Naranja Arpilla5Kg,41.7,Tomates Constellation NatureSweet 467g,79.0,Frutal Durazno Alpura 250ml,7.5,Medallón de Pechuga de Pollo The Farm Food kg,109.0,Chiles Serranos La Costeña Enteros en Escabeche 800g,36.9
3,Limón Eureka 1kg,54.9,Tomate Cherry Glorys NatureSweet 283g,41.7,Frutal Piña-Coco Alpura 250ml,7.5,Milanesa Pulpa Negra de Res kg,164.0,Rajas Rojas La Morena  210g,11.5
4,Naranja de Jugo por Kg,19.9,Cebolla Perla Roja 10 283.4g,72.9,Yoghurt Alpura Batido Fresa 125g,5.1,Filete de Tilapia por Kg,89.9,Rajas Verdes La Morena  2800g,99.8
5,Toronja por Kg,19.5,Cebolla Perla Blanca 283.4g,72.9,Yoghurt Alpura Batido Durazno 125g,5.1,Huachinango por Kg,189.0,Chile Chipotle Lucero Adobado 270g,25.5
6,Limón Colima por Kg,22.9,Cebolla Perla Dorada 283.4g,72.9,Yoghurt Alpura Batido Mango 125g,5.1,Pulpo por kg,169.0,Chile Chipotle Lucero Adobo 520g,41.5
7,Naranja Paramount 1kg,58.5,Jitomate Hidrocool Cherry 380g,30.3,Yoghurt Alpura Batido Manzana 125g,5.1,Pechuga de Pollo sin Hueso Congelado por Kg,62.9,Chiles Clemente Jacques Chipotles Dulces Molidos 220g,16.0
8,Mandarina por Kg,22.9,CebollínPieza,12.3,Yoghurt Alpura Batido Zarzamora 125g,5.1,Filete de Calamar por kg,99.9,Rajas Jalapeño Buen Origen Orgánicas Oval 440g,25.03
9,Cereza Domo 250 gr,124.9,Cebolla de Cambray Pieza,9.9,Yoghurt Alpura Batido Frutos del Bosque 125g,5.1,Tentáculos de Calamar por kg,99.9,Nachos Jalapeño Buen Origen Orgánicos Oval 440g,39.5
10,Pera Bosc por Kg,64.9,Cebolla Amarillapor kg,29.9,Yoghurt Alpura Batido Piña-Coco 125g,5.1,Nugget Aires de Campo de Pollo Orgánico 700g,218.0,Chicharrón de Chile Don Chacho Habanero 140 g,104.0
11,Pera Asiática por Kg,64.9,Cebolla de Rabo por kg,30.5,Yoghurt Alpura Batido Natural 125g,4.9,Huevo Crio  Jumbo 12 Piezas,31.2,Chicharrón de Chile Don Chacho Jalapeño 140 g,104.0
12,Kiwipor Kg,84.0,Cebolla Morada por kg,36.9,Yoghurt Alpura Batido Guayaba 125g,5.1,Huevo Nutri Campo Blanco Libre Pastoreo 12 Piezas,52.0,Chicharrón de Chile Don Chacho Serrano 140 g,104.0
13,Pera Roja Kg,64.9,Tomate Verde por kg,26.9,Leche Lala Orgánica Pasteurizada 1 lt,29.0,Huevo Fresco de Campiña 12 Piezas,49.9,Chiles Serranos La Costeña Enteros en Escabeche 220g,12.0
14,Pera Mantequilla por Kg,44.9,Cebolla Blanca por kg,36.9,Leche Pasteurizada Monarca 1Lt,17.0,Huevo Aires de Campo Rojo Orgánico 12 Piezas,62.0,Jalapeños San Marcos Enteros 380g,11.5
15,Manzana Puré Harvest Golden 600g,22.68,Papa Blanca  por kg,21.9,Leche Lala Pasteurizada Entera 1.80 Lt,30.0,Bistec Aires de Campo de Pollo Orgánico kg,295.0,Chiles Nachos Jalapeños La Costeña Rodajas 380g,17.5
16,Manzana Royal Gala 1kg,28.9,Aguacate Chiapas por Kg,39.9,Leche Lala Past Light 1.80 Lt,32.7,Milanesa Aires de Campo de Pechuga de Pollo Orgánico  kg,269.0,Chiles Chipotles La Costeña Adobados 380g,30.9
17,Manzana Royal Gala por Kg,49.9,Papa Cambray por kg,24.8,Leche Lala Past Deslac 2% 1.80 Lt,34.5,Huevo Aires de Campo Blanco Orgánico 12 Piezas,61.0,Jalapeño La Morena 380g,14.9
18,Manzana Granny Smithpor Kg,59.9,Aguacate Hass por Kg,39.9,Leche Lala Pas Desla Sem 1.80 Lt,36.7,Pechuga Aires de Campo de Pollo Deshuesada Orgánico  kg,245.0,Chiles El Mexicano Jalapeños en Rajas 800g,29.5
19,Manzana Golden Medianapor Kg,34.9,Tomatillo por kg,47.9,Leche Lala Fresca Premium 1 Lt,19.4,Atún Sakudori Netmar por kg,279.0,Chiles Jalapeños La Costeña Picados 380g,23.0
20,Manzana Roja Medianapor Kg,39.9,Aguacate Hass Enmallado pz,25.0,Leche Lala Fresca Entera 1 Lt,19.4,Huevo de Gallina Libre Pastoreo Rojo 12 Piezas,56.0,Chipotles San Marcos en Escabeche 215g,18.0
21,Manzana Golden Chica Bolsa por Kg,29.9,Tomate Bolapor kg,34.9,Leche Lala Fresca Premium 3.8 Lt,65.0,Pollo Aires de Campo Entero Orgánico  kg,134.0,Zanahorias en Escabeche Del Monte 390g,15.0
22,Manzana Roja Chica Bolsa por Kg,32.9,Tomate Uva Cherubs NatureSweet 283g,41.7,Leche Lala Pasteurizada Light 1 Gal,67.0,Huevo Henne 12 Piezas,36.0,Chipotles Adobo La Morena  380g,33.0
23,Manzana Beaburn por kg,64.9,Tomate Saladet por kg,29.5,Leche Lala Fresca Light 1 Lt,19.4,Hamburguesa Aires de Campo de Pollo Orgánica 6 Piezas,196.0,Chiles El Mexicano Jalapeños en Rajas 340g,15.7
24,Blue Berry Pieza,47.9,Flor de Calabazapor kg,99.9,Leche Lala Deslactosada 1L,22.2,Huevo Fresco de Gallina Casa de Huevo Libre de Pastoreo 12 Piezas,47.9,Chipotles San Marcos Adobados Enteros 380g,28.5
25,Fresa Pieza,68.9,Alfalfa fresca Tiempo de Cosecha 50g,22.9,Leche Lala 100 Past Red Gra 330 ml,11.85,Huevo Mi Tierra Rojo Libre Pastoreo 18 Piezas,90.0,Chiles Clemente Jacques Jalapeños Rajas 380g,13.0
26,ZarzamoraPieza,39.9,Estragón fresco Tiempo de Cosecha 50g,22.9,Leche Lala 100 Fresca Semidescremada 1 l,26.4,Huevos Blamcos Campo Vivo Orgánicos 12 piezas,56.5,Chipotles San Marcos Molidos 215g,17.5
27,Frambuesa Domo 170g,41.9,Bouquet Garni frescas Tiempo de Cosecha 50g,22.9,Leche Lala 100 Fresca sin Lac Red Gra 1,25.25,Back Ribs Cerdo por kg,189.0,Chiles Clemente Jacques Jalapeños Rajas 220g,8.0
28,Uva Roja sin Semilla por Kg,69.0,Bouquet Hierbas Finas frescas Tiempo de Cosecha 50g,22.9,Leche Lala 100 Fresca Red Gra 1 lt,26.4,Carne Nutrypol al Pastor 500 gr,73.9,Zanahoria La Costeña en Escabeche 230g,8.5
29,Uva Verde 1kg,69.0,Bouquet Provence fresco Tiempo de Cosecha 50g,22.9,Leche Lala 100 Past Semidescrem 330 ml,11.85,Fajitas Nutrypol Pechuga Jalapeño 500 gr,83.9,Chiles Clemente Jacques Chipotles 220g,15.0
30,Uva GloboEmperador por kg,69.0,Coliflor Naranja 750g,99.0,Leche Lala 100 Past Entera 1 lt,24.35,Huevo Mi Tierra Blanco Libre Pastoreo 18 Piezas,90.0,Jalapeño La Morena 800g,28.0
31,Uva Negra sin Semilla 1kg,89.9,Alcachofa Baby 908g,230.0,Leche Lala 100 Fresca sin Lac Sem 1 lt,25.25,Medallones Sierra Madre de Atún 500g,199.0,Chiles Nachos Jalapeños La Costeña Rodajas 220g,11.5
32,Coco por Pieza,19.0,Santa MaríaPieza,15.4,Alim Liq Lala Vita Arroz 960 Mililitros,35.1,Pierna con Muslo Aires de Campo de Pollo Orgánico kg,170.0,Chipotles San Marcos Adobados Enteros 255g,19.5
33,Guayaba por Kg,32.9,Pakchoy,55.5,Alim Liq Lala Vita Amaranto 960 Mililitr,35.1,Huevo Rojo Libre de Pastoreo de Rancho 12 Piezas,50.5,Chiles Jalapeños La Costeña en Rajas 105g,6.5
34,Plátano Macho por Kg,24.9,Cebollín fresco Tiempo de Cosecha 50g,22.9,Leche Lala Yomi Fresa Red Azuc 190 Mili,6.6,Milanesa de Res Verdes Motivos 400g,149.0,Chiles Chipotles La Costeña Adobados Picados 220g,19.9
35,Sandia Blanca Rayadapor Kg,11.5,Tomillo fresco Tiempo de Cosecha 50g,22.9,Leche Lala Yomi Chocolate Red Azuc 190 M,6.6,Huevo Crio Libre de Jaula 12,29.9,Chiles Chipotles La Costeña Adobados 220g,18.0
