,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Platano 1 Kg,16.95,Tomate Huaje Supremo 1 Kg,31.0,Caperucita Queso Manchego En Cubos 250 G 250 Gr,73.0,Molida Pulpa Negra De Res 500 Gr,109.0,Atun En Agua 140 Gr,18.9
1,Papaya Maradol 1 Kg,33.9,Aguacate Supremo 1 Kg,51.0,Caperucita Queso Manchego Reducido Grasa 400 G 400 Gr,122.0,Molida London Broil De Res 500 Gr,119.0,Frijoles Refritos Bayos 400 Gr,16.9
2,Sandia Sangria 1 Kg,13.0,Papa Blanca 1 Kg,31.0,Zwan Queso Manchego Rallado 250 G 250 Gr,62.0,Molida Pulpa Fina De Res 300 Gr,59.9,Elote En Lata 220 Gr,10.0
3,Melon Chino 1 Kg,26.0,Cebolla Bca Limpia 1 Kg,38.0,Zwan Queso Manchego Rebanado 400 G 400 Gr,97.0,Molida Sirloin De Res 300 Gr,61.9,Elote En Lata 432 Gr,14.9
4,Naranja Valencia 1 Kg,17.5,Limon Agrio Supremo 1 Kg,39.0,Queso Crema 200 Gr,32.9,Pechuga De Pollo S/H 1 Kg,144.0,Atun En Agua 140 Gr,19.5
5,Fresa 1 Lb 454 Gr,83.0,Nopal Limpio 1 Kg,29.95,Leche Uht Entera 1 Lt,22.9,Milanesa Natural De Pollo Paq.De.550Gr 550 Gr,86.9,Frijoles Refritos Peruanos 400 Gr,16.9
6,Jicama Gde 1 Kg,16.95,Cilantro Manojo,6.95,Leche Almendras Original 1.89 Lt,61.9,Milanesa De Pulpa Negra 1 Kg,219.0,Atun En Agua Solido De Lomo 140 Gr,31.0
7,Pina Miel Gold,57.0,Zanahoria 1 Kg,13.95,Queso Panela 400 Gr,75.9,Pechuga De Pollo Deshuesada 1 Kg,138.9,Atun En Agua 140 Gr,10.9
8,Manzana Golden Saltillo Bin 1 Kg,36.0,Pepino Fresco 1 Kg,19.95,Huevo Blanco 30 Pz,62.0,Muslo De Pollo Paq.Reg. 1 Kg,68.9,Frijoles Pintos 425 Gr,18.9
9,Sandia Roja Sin Semilla 1 Kg,12.95,Calabacita 1 Kg,20.5,Leche Evaporada Regular 360 Gr,16.9,Pierna Con Muslo De Pollo Corte Americano Fres 1 Kg,25.9,Atun Jumbo En Agua 295 Gr,39.0
10,Manzana Gala Imp 1 Kg,59.95,Elote Blanco,5.95,Leche Condensada 387 Gr 397 Gr,24.0,Alco Milanesa Corazon 170 Gr. 170 Gr,29.9,Atun En Agua Pouch 75 Gr,18.5
11,Manzana Golden En Bsa Nacional1.34 1.36 Gr,39.9,Espinaca Manojo,8.95,Fermentados Natural 400 Gr,30.9,Molida Clásica De Res 1 Kg,149.0,Elote En Lata 225 Gr,8.5
12,Pera D Anjou 1 Kg,67.5,Lechuga Romana,15.95,Leche Uht Deslactosada Light 1Lt 1 Lt,23.5,Fajita De Pollo 1 Kg,144.0,Frijoles Refritos Bayos 400 Gr,12.5
13,Manzana Golden Nacional 1 Kg,34.95,Limon S/Semilla 1 Kg,29.95,Leche Uht Deslactosada Light 1 Lt,24.0,Pierna Y Muslo De Pollo Iqf 1 Kg,25.9,Elote En Lata 220 Gr,10.0
14,Uva Blanca S/S Suprema 1 Kg,104.0,Tomate Bola Supremo 1 Kg,41.0,Leche Uht Deslactosada Light 1 Lt,24.0,Pechuga De Pollo C/H S/Piel Empacada 1 Kg,140.9,Sopa Fideo 95 Gr,13.0
15,Manzana Red Delicious Imp Suprema 1 Kg,46.95,Brocoli Coronas 1 Kg,36.0,Mantequilla Barra Sin Sal 90 Gr,19.5,Pechuga Entera C/H De Pollo Bolsa 1 Kg,109.0,Atun Pouch Agua 74 Gr,20.9
16,Manzana Golden Imp Suprema 218 Gr,73.0,Lechuga Orejona,16.95,Mantequilla Barra Con Sal 90 Gr,19.5,Aguja Norteña C/H De Res 1 Kg,209.0,Atun En Aceite 140 Gr,19.5
17,Toronja Sangria 1 Kg,22.0,Chayote Sin Espinas 1 Kg,28.0,Leche Uht 100 Proteina Reducida Grasa 1 Lt,27.5,Filete De Mojarra Natural 1 Kg,149.0,Frijoles Refritos Negros 400 Gr,16.9
