,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Platano Tabasco,18.5,Jitomate Saladet,21.9,Leche Uht Semidescremada,8.5,Chuleta Ahumada,89.0,Granos De Elote Dorado,7.4
1,Papaya Maradol,32.9,Aguacate Hass,43.5,Leche Uht Entera,20.5,Molida,111.0,Chicharron De Cerdo,159.0
2,Limon Agrio,21.9,Cebolla Blanca,29.9,Leche Uht Deslactosada,30.05,Pulpa De Pierna,115.7,Granos De Elote,9.2
3,Limon Agrio Sin Semilla,26.9,Calabaza Italiana,18.5,Leche Uht Semidescremada,21.0,Costilla,118.5,Garbanzos,11.5
4,Naranja Valencia Para Jugo,21.0,Zanahoria,16.9,Leche Uht Entera,17.08,Chuleta,104.61,Granos De Elote Dorado,14.5
5,Piña Miel,23.9,Papa Blanca,24.9,Leche Uht Semidescremada,8.5,Lomo,121.4,Champiñones Rebanados,16.95
6,Manzana Royal Gala,58.9,Pepino,22.9,Leche Uht Deslactosada Light,30.0,Filete,145.4,Ensalada De Verduras,8.9
7,Melon Chino,21.9,Chayote Sin Espinas,19.5,Leche Fresca Entera,33.05,Milanesa De Pierna,115.0,Ensalada De Verduras,12.7
8,Guayaba,25.9,Tomate Verde Sin Cascara,23.9,Producto Lacteo Uht Entero,15.65,Milanesa De Lomo,139.8,Granos De Elote Dorado,14.9
9,Uva Blanca Sin Semilla,30.0,Chile Serrano,25.9,Leche Uht Semidescremada,8.5,Codillo,64.0,Granos De Elote Blanco Mexicano,11.5
10,Fresa,93.9,Ejote Verde,37.9,Leche Uht Entera,30.0,Espinazo,131.9,Ajo Picado,88.5
11,Manzana Golden,32.9,Chile Poblano,37.9,Leche Uht Semidescremada,28.7,Bistec De Pierna,95.0,Champiñones Rebanados,30.55
12,Jicama,17.9,Cebolla Morada,44.9,Leche Uht Deslactosada,20.8,Lomo Ahumado,122.86,Granos De Elote Dorado,12.6
13,Pera De Anjou,64.9,Jengibre,111.9,Leche Uht Semidescremada,8.5,Manitas,62.2,Ensalada De Verduras,10.7
14,Manzana Starking,52.9,Jitomate Bola,41.9,Leche Fresca Light 0 Lactosa,24.95,Carrillera Baby Back,134.0,Chicharos,7.25
15,Toronja Sangria,21.0,Ajo Morado,195.0,Leche Fresca Entera,29.95,Cabeza De Lomo Sin Hueso,107.0,Chicharos Con Zanahorias,7.9
16,Platano Macho,24.9,Betabel,17.9,Leche Uht Deslactosada,7.7,Espaldilla Con Hueso,86.0,Garbanzo En Salmuera,15.63
