,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
0,Manzana Granny Smith Kg,59.9,Chile Soriana Ancho Bol 100Gr,22.8,Leche Alpura Deslactosada 1 L,22.5,Hamburguesa Res Fina Sukarne 720 Gr Pz,54.9,Tuny Atún Agua 140 Gr Lat,15.9
1,Platano Dominico Kg,34.9,Jitomate  Huaje/Saladette,29.9,Leche Alpura Clásica Entera 1 L,22.9,Diezmillo De Res S/Hueso Rdfs Kg,75.9,Lomo De Atún Herdez En Agua 130 Gr,15.0
2,Platano Kg,14.9,Poro,21.9,Leche Alpura Light 1 L,22.9,Costilla De Res P/Asar Rdfs Kg,79.9,Atun Tuny En Aceite Lat 140Gr,15.9
3,Pera Bosc Kg,79.9,Papa Blanca Kg,24.9,Leche Alpura Semidescremada 1 L,22.9,Flecha De Res P/Asar Rdfs Kg,79.9,Atun Dolores En Aceite Lat 140Gr,16.5
4,Limon C/Semilla Kg,17.8,Cebolla Blanca Kg,17.8,Leche Valley Foods Deslactosada Light 1 L,19.75,Higado De Res Rebanado Sukarne 500 Gr,27.9,Atun En Agua Agua Precissimo Pza,9.9
5,Mandarina Kg,22.9,Aguacate Kg,49.9,Leche Valley Foods Light 1 L,18.7,Filete De Res Rdfs Kg,19.0,Atun Mazatun En Agua Lat 140Gr,13.9
6,Mango Ataulfo Kg,39.9,Zanahoria Kg,15.9,Bebida De Soya Ades Sabor A Vainilla 946 Ml,29.5,Molida Res Pulpa Negra 95/5 Rancho Don Francisco,84.0,Atun En Aceite Aceite Precissimo Pza,9.9
7,Naranja S/Semilla Kg,69.9,Verdolaga Manojo,12.9,Lecha Entera Valley Foods 1 L,18.7,Menudo De Res Panza Rancho Santa Fe Kg,79.9,Atun Mazatun En Aceite Lat 140Gr,13.9
8,Papaya Kg,22.8,Apio Kg,19.9,Leche Valley Foods Deslactosada 1 L,19.75,Molida De Pulpa Negra London Broil Rancho Don Francisco Selecta Kg,19.0,Atún Dolores En Agua Pouch 78G,15.5
9,Manzana Golden Delicious Kg,39.9,Cilantro Manojo,7.9,Bebida De Soya Ades Natural 946 Ml,29.0,Pulpa Negra Trozo Rancho Don Francisco Selecta,84.0,Chilorio Chata De Pavo 250 Gr,56.0
10,Melon Chino Kg,18.9,Calabaza Italiana/Criolla Kg,19.9,Bebida De Soya Ades Natural Light 946 Ml,29.0,Albondiga Practiryc 480 Gr,82.9,Atún Dolores En Aceite Lata 295G,32.9
11,Piña Gota Miel Kg,17.8,Chile Soriana Pasilla 100 Gr,24.9,Bebida Original Ades Almendra 946 Ml,40.0,New York De Res Rdfs Kg,14.0,Lomo De Atún El Dorado Nutre En Aceite 140 Gr,10.9
12,Naranja Kg,16.8,Berro Manojo,12.9,Leche Entera Uht San Marcos 1 Lt,21.5,Milanesa De Res Pulpa Negra Rancho Don Francisco Selecta Kg,69.9,Sardinas Ponto En Salsa De Tomate 120 Gr,21.5
13,Limon Amarillo Kg,39.9,Camote Morado 1 Kg,49.9,Leche Valley Foods Semidescremada 1 L,17.9,T Bone De Res Rdfs Kg,9.0,Sardina En Salsa De Tomate Dolores Lata 120G,21.5
