Unnamed: 0,Enlatados HBE,Precio Enlatados HBE,Enlatados Soriana,Precio Enlatados Soriana,Enlatados Chedraui,Precio Enlatados Chedraui,Enlatados LaComer,Precio Enlatados LaComer
,Atun En Agua 140 Gr,18.9,Tuny Atún Agua 140 Gr Lat,15.9,Chiles Habaneros Salsas Doña Jose en Escabeche 300g.,95.0,Granos De Elote Dorado,7.4
,Frijoles Refritos Bayos 400 Gr,16.9,Lomo De Atún Herdez En Agua 130 Gr,15.0,Chilitos Gueritos La Norteña Pouch 230g,21.0,Chicharron De Cerdo,159.0
,Elote En Lata 220 Gr,10.0,Atun Tuny En Aceite Lat 140Gr,15.9,Chiles Serranos La Costeña Enteros en Escabeche 800g,36.9,Granos De Elote,9.2
,Elote En Lata 432 Gr,14.9,Atun Dolores En Aceite Lat 140Gr,16.5,Rajas Rojas La Morena  210g,11.5,Garbanzos,11.5
,Atun En Agua 140 Gr,19.5,Atun En Agua Agua Precissimo Pza,9.9,Rajas Verdes La Morena  2800g,99.8,Granos De Elote Dorado,14.5
,Frijoles Refritos Peruanos 400 Gr,16.9,Atun Mazatun En Agua Lat 140Gr,13.9,Chile Chipotle Lucero Adobado 270g,25.5,Champiñones Rebanados,16.95
,Atun En Agua Solido De Lomo 140 Gr,31.0,Atun En Aceite Aceite Precissimo Pza,9.9,Chile Chipotle Lucero Adobo 520g,41.5,Ensalada De Verduras,8.9
,Atun En Agua 140 Gr,10.9,Atun Mazatun En Aceite Lat 140Gr,13.9,Chiles Clemente Jacques Chipotles Dulces Molidos 220g,16.0,Ensalada De Verduras,12.7
,Frijoles Pintos 425 Gr,18.9,Atún Dolores En Agua Pouch 78G,15.5,Rajas Jalapeño Buen Origen Orgánicas Oval 440g,25.03,Granos De Elote Dorado,14.9
,Atun Jumbo En Agua 295 Gr,39.0,Chilorio Chata De Pavo 250 Gr,56.0,Nachos Jalapeño Buen Origen Orgánicos Oval 440g,39.5,Granos De Elote Blanco Mexicano,11.5
,Atun En Agua Pouch 75 Gr,18.5,Atún Dolores En Aceite Lata 295G,32.9,Chicharrón de Chile Don Chacho Habanero 140 g,104.0,Ajo Picado,88.5
,Elote En Lata 225 Gr,8.5,Lomo De Atún El Dorado Nutre En Aceite 140 Gr,10.9,Chicharrón de Chile Don Chacho Jalapeño 140 g,104.0,Champiñones Rebanados,30.55
,Frijoles Refritos Bayos 400 Gr,12.5,Sardinas Ponto En Salsa De Tomate 120 Gr,21.5,Chicharrón de Chile Don Chacho Serrano 140 g,104.0,Granos De Elote Dorado,12.6
,Elote En Lata 220 Gr,10.0,Sardina En Salsa De Tomate Dolores Lata 120G,21.5,Chiles Serranos La Costeña Enteros en Escabeche 220g,12.0,Ensalada De Verduras,10.7
,Sopa Fideo 95 Gr,13.0,Ensalada Tuny Atun S/Mayonesa Lat 135Gr,14.5,Jalapeños San Marcos Enteros 380g,11.5,Chicharos,7.25
,Atun Pouch Agua 74 Gr,20.9,Atún Herdez En Agua 85 Gr,15.0,Chiles Nachos Jalapeños La Costeña Rodajas 380g,17.5,Chicharos Con Zanahorias,7.9
,Atun En Aceite 140 Gr,19.5,Tamal Verde La Costeña 110 Gr,11.1,Chiles Chipotles La Costeña Adobados 380g,30.9,Garbanzo En Salmuera,15.63
,Frijoles Refritos Negros 400 Gr,16.9,Atun Atun Agua Marina Azul 130 Gramo Lata,16.0,Jalapeño La Morena 380g,14.9,Granos De Elote Dorado Mas 15%,8.6
,Atun En Agua Pouch 74 Gr,15.9,Ensalada De Atún Dolores Cupcan 135G,16.9,Chiles El Mexicano Jalapeños en Rajas 800g,29.5,Chicharos,7.5
,Atun Pouch Agua 78 Gr,19.9,Sardinas Ponto En Aceite 120 Gr,22.5,Chiles Jalapeños La Costeña Picados 380g,23.0,Chicharos,11.17
,Atun En Agua 130 Gr,21.0,Ensalada De Atún Primavera Tuny Sin Mayonesa 110 Gr,14.9,Chipotles San Marcos en Escabeche 215g,18.0,Ensalada Campesina,7.3
,Atun Agua 295 Gr,39.9,Salmón En Agua Tuny Light 75 Gr,22.1,Zanahorias en Escabeche Del Monte 390g,15.0,Champiñones En Escabeche,37.4
,Elote En Lata 400 Gr,16.0,Lomo De Atún Tuny Jumbo En Aceite 295 Gr,31.9,Chipotles Adobo La Morena  380g,33.0,Ensalada De Verduras Mas 15%,8.38
,Frijoles Bayos Refritos 430 Gr,15.5,Chata Chilorio De Cerdo Pouch 215Gr,62.0,Chiles El Mexicano Jalapeños en Rajas 340g,15.7,Champiñones En Trocitos,16.3
,Sopa Ramen De Pollo 85 Gr,6.0,Jalapeños Enteros La Costeña En Escabeche 240 Gr,11.5,Chipotles San Marcos Adobados Enteros 380g,28.5,Ensalada Campesina,10.5
,Elote Blanco En Lata 220 Gr,14.5,Frijoles Ranch Style 425 Gr,19.6,Chiles Clemente Jacques Jalapeños Rajas 380g,13.0,Ensalada De Legumbres,7.5
,Sopa Fideo 143 Gr,17.0,Rajas De Jalapeño Herdez En Escabeche 380 Gr,18.0,Chipotles San Marcos Molidos 215g,17.5,Ensalada De Legumbres,11.5
,Sopas Knorr Sopa Estrellitas 143 Gr,17.0,Rajas De Jalapeño La Costeña En Escabeche 150 Gr,7.25,Chiles Clemente Jacques Jalapeños Rajas 220g,8.0,Flor De Calabaza,26.45
,Frijoles Peruanos Refritos 400 Gr,13.0,Frijoles Bayos La Costeña 580 Gr,14.5,Zanahoria La Costeña en Escabeche 230g,8.5,Champiñones Enteros,17.83
,Frijoles Refritos Bayos 580 Gr,13.5,Frijoles Negros La Sierra Enteros 560 Gr,11.9,Chiles Clemente Jacques Chipotles 220g,15.0,Chicharos Y Zanahorias,13.3
,Sopa Letras 95 Gr,13.0,Jalapeños Picados La Costeña En Escabeche 105 Gr,7.95,Jalapeño La Morena 800g,28.0,Champiñones En Escabeche,19.5
,Atun Agua Pouch 180 Gr,43.9,Rajas De Jalapeño Herdez En Escabeche 220 Gr,11.5,Chiles Nachos Jalapeños La Costeña Rodajas 220g,11.5,Champiñones Rebanados,13.7
,Garbanzo Al Natural 400 Gr,16.0,Frijol Bayos Refritos La Sierra 440 Gr,13.75,Chipotles San Marcos Adobados Enteros 255g,19.5,Ejotes,13.5
