Unnamed: 0,Frutas HBE,Precio Frutas HBE,Frutas Soriana,Precio Frutas Soriana,Frutas Chedraui,Precio Frutas Chedraui,Frutas LaComer,Precio Frutas LaComer
,Platano 1 Kg,16.95,Manzana Granny Smith Kg,59.9,Limón sin Semilla por Kg,22.9,Platano Tabasco,18.5
,Papaya Maradol 1 Kg,33.9,Platano Dominico Kg,34.9,Plátano Chiapas por Kg,16.5,Papaya Maradol,32.9
,Sandia Sangria 1 Kg,13.0,Platano Kg,14.9,Naranja Arpilla5Kg,41.7,Limon Agrio,21.9
,Melon Chino 1 Kg,26.0,Pera Bosc Kg,79.9,Limón Eureka 1kg,54.9,Limon Agrio Sin Semilla,26.9
,Naranja Valencia 1 Kg,17.5,Limon C/Semilla Kg,17.8,Naranja de Jugo por Kg,19.9,Naranja Valencia Para Jugo,21.0
,Fresa 1 Lb 454 Gr,83.0,Mandarina Kg,22.9,Toronja por Kg,19.5,Piña Miel,23.9
,Jicama Gde 1 Kg,16.95,Mango Ataulfo Kg,39.9,Limón Colima por Kg,22.9,Manzana Royal Gala,58.9
,Pina Miel Gold,57.0,Naranja S/Semilla Kg,69.9,Naranja Paramount 1kg,58.5,Melon Chino,21.9
,Manzana Golden Saltillo Bin 1 Kg,36.0,Papaya Kg,22.8,Mandarina por Kg,22.9,Guayaba,25.9
,Sandia Roja Sin Semilla 1 Kg,12.95,Manzana Golden Delicious Kg,39.9,Cereza Domo 250 gr,124.9,Uva Blanca Sin Semilla,30.0
,Manzana Gala Imp 1 Kg,59.95,Melon Chino Kg,18.9,Pera Bosc por Kg,64.9,Fresa,93.9
,Manzana Golden En Bsa Nacional1.34 1.36 Gr,39.9,Piña Gota Miel Kg,17.8,Pera Asiática por Kg,64.9,Manzana Golden,32.9
,Pera D Anjou 1 Kg,67.5,Naranja Kg,16.8,Kiwipor Kg,84.0,Jicama,17.9
,Manzana Golden Nacional 1 Kg,34.95,Limon Amarillo Kg,39.9,Pera Roja Kg,64.9,Pera De Anjou,64.9
,Uva Blanca S/S Suprema 1 Kg,104.0,Manzana Golden Bol Kg,29.9,Pera Mantequilla por Kg,44.9,Manzana Starking,52.9
