Unnamed: 0,Verduras HBE,Precio Verduras HBE,Verduras Soriana,Precio Verduras Soriana,Verduras LaComer,Precio Verduras LaComer
,Tomate Huaje Supremo 1 Kg,31.0,Chile Soriana Ancho Bol 100Gr,22.8,Jitomate Saladet,21.9
,Aguacate Supremo 1 Kg,51.0,Jitomate  Huaje/Saladette,29.9,Aguacate Hass,43.5
,Papa Blanca 1 Kg,31.0,Poro,21.9,Cebolla Blanca,29.9
,Cebolla Bca Limpia 1 Kg,38.0,Papa Blanca Kg,24.9,Calabaza Italiana,18.5
,Limon Agrio Supremo 1 Kg,39.0,Cebolla Blanca Kg,17.8,Zanahoria,16.9
,Nopal Limpio 1 Kg,29.95,Aguacate Kg,49.9,Papa Blanca,24.9
,Cilantro Manojo,6.95,Zanahoria Kg,15.9,Pepino,22.9
,Zanahoria 1 Kg,13.95,Verdolaga Manojo,12.9,Chayote Sin Espinas,19.5
,Pepino Fresco 1 Kg,19.95,Apio Kg,19.9,Tomate Verde Sin Cascara,23.9
,Calabacita 1 Kg,20.5,Cilantro Manojo,7.9,Chile Serrano,25.9
,Elote Blanco,5.95,Calabaza Italiana/Criolla Kg,19.9,Ejote Verde,37.9
,Espinaca Manojo,8.95,Chile Soriana Pasilla 100 Gr,24.9,Chile Poblano,37.9
,Lechuga Romana,15.95,Berro Manojo,12.9,Cebolla Morada,44.9
,Limon S/Semilla 1 Kg,29.95,Camote Morado 1 Kg,49.9,Jengibre,111.9
,Tomate Bola Supremo 1 Kg,41.0,Pepino Verde Kg,21.9,Jitomate Bola,41.9
,Brocoli Coronas 1 Kg,36.0,Aguacate Campo Vivo,87.0,Ajo Morado,195.0
,Lechuga Orejona,16.95,Esparrago Verde Mjo,99.0,Betabel,17.9
,Chayote Sin Espinas 1 Kg,28.0,Chile Caribe Kg,59.8,Pimiento Rojo,78.9
,Coliflor Blanca Pza,34.95,Chile Tajin Ancho 75Gr,30.9,Tomate Verde Con Cascara,21.0
,Papa Blanca Chica 1 Kg,24.95,Lechuga Romana,15.9,Pimiento Verde,82.0
,Cebolla Cambray,9.95,Chile Serrano Kg,46.9,Papa Cambray,33.6
,Seasons Select Aguacate Malla,36.95,Chile Tajin Pasilla 75Gr,31.9,Elote Blanco,8.9
,Acelga Verde,8.95,Brócoli 1 Pz Kg.,34.9,Berenjena,15.9
,Tomatillo Limpio Season Select,17.95,Espinaca Manojo,9.9,Poro,41.0
,Limon Amarillo ( Variedad Eureka) 1 Kg,59.95,Champiñon San Miguel Blanco Char 225 Gr,28.8,Chile Cuaresmeño,29.0
,Tomate Fresadilla 1 Kg,17.95,Champiñon San Miguel Seleccionado 225 Gr,27.8,Camote Amarillo Nacional,92.5
,Champinon Bco Reb De 225,21.95,Espinaca Mr Lucky Popeye,47.8,Pepino Criollo,5.5
,Chile Poblano 1 Kg,44.95,Champiñon Monte Bco Cha 225Gr,28.9,Chile Verde De Arbol,82.1
,Apio 1 Kg,19.95,Espinaca Baby Vegetalistos 250Gr,46.8,Pimiento Amarillo,82.0
,Pimiento Semaforo C/3,44.95,Lechuga Eva Mini Romaine Bol 2Pz,32.9,Chile Habanero,88.0
,Chile Serrano 1 Kg,41.0,Champiñon Crimini Entero 225Gr,28.8,Chicharo,35.8
,Mini Floretes De Brocoli,19.95,Soya Germinada Granel Kg,39.8,Cebolla De Rabo,32.2
,Perejil Liso,12.95,Lechuga Eva Boston Hidroponico Char,28.9,Jitomate Cherry,30.3
,Cebolla Morada 1 Kg,34.95,Ensalada Eva Francesa Corazon,31.9,Cremini Rebanado,25.0
